epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5727,1.35603,1.91432,0.90891,0.01,1,0.24965,0.13378,1.13231,2.92933,0.8419,0.000653333,0.000653333,0.000653333
2,37.738,0.88189,0.81314,0.8197,1,0.98899,0.995,0.60223,1.12457,1.44357,0.83827,0.00129386,0.00129386,0.00129386
3,56.2373,0.81644,0.70999,0.81342,0.99982,1,0.995,0.80096,0.75538,0.66495,0.80898,0.00190799,0.00190799,0.00190799
4,74.3411,0.73095,0.61404,0.80799,0.99829,1,0.995,0.7716,0.83024,0.52837,0.80594,0.0018812,0.0018812,0.0018812
5,91.9212,0.74985,0.57709,0.8092,0.99988,1,0.995,0.7745,0.84362,0.47832,0.8116,0.0018416,0.0018416,0.0018416
6,109.636,0.71713,0.50998,0.80789,0.9999,1,0.995,0.83145,0.70366,0.43499,0.79638,0.001802,0.001802,0.001802
7,127.315,0.62377,0.44242,0.79747,0.9999,1,0.995,0.84711,0.66312,0.40258,0.79508,0.0017624,0.0017624,0.0017624
8,145.067,0.60397,0.42299,0.78809,0.99991,1,0.995,0.80107,0.70368,0.43483,0.79281,0.0017228,0.0017228,0.0017228
9,162.725,0.65079,0.41784,0.79336,0.9999,1,0.995,0.82002,0.71734,0.40248,0.79809,0.0016832,0.0016832,0.0016832
10,180.449,0.59289,0.3834,0.79083,0.9999,1,0.995,0.85267,0.6114,0.36567,0.78778,0.0016436,0.0016436,0.0016436
11,198.212,0.59254,0.37581,0.79027,0.9999,1,0.995,0.82096,0.68757,0.36169,0.79868,0.001604,0.001604,0.001604
12,215.826,0.57945,0.36865,0.79247,0.99989,1,0.995,0.80171,0.76408,0.38635,0.80117,0.0015644,0.0015644,0.0015644
13,233.512,0.55796,0.35226,0.79134,0.9999,1,0.995,0.79356,0.77269,0.37525,0.80269,0.0015248,0.0015248,0.0015248
14,251.21,0.53138,0.34167,0.7834,0.9999,1,0.995,0.75805,0.84437,0.39172,0.81371,0.0014852,0.0014852,0.0014852
15,268.838,0.53565,0.33317,0.78366,0.9999,1,0.995,0.78391,0.74112,0.36132,0.80081,0.0014456,0.0014456,0.0014456
16,286.533,0.54304,0.3343,0.78844,1,1,0.995,0.80438,0.71847,0.3555,0.79924,0.001406,0.001406,0.001406
17,304.428,0.5227,0.32359,0.78324,1,1,0.995,0.80822,0.71921,0.35505,0.79899,0.0013664,0.0013664,0.0013664
18,322.271,0.51289,0.31634,0.78351,0.9999,1,0.995,0.82536,0.63955,0.32484,0.79066,0.0013268,0.0013268,0.0013268
19,339.934,0.50897,0.31042,0.78535,1,1,0.995,0.85805,0.57618,0.30532,0.78756,0.0012872,0.0012872,0.0012872
20,357.969,0.52027,0.31342,0.78232,0.9999,1,0.995,0.83805,0.60668,0.33179,0.78872,0.0012476,0.0012476,0.0012476
21,376.066,0.50131,0.30241,0.78297,0.9999,1,0.995,0.7911,0.74003,0.34171,0.80077,0.001208,0.001208,0.001208
22,533.795,0.49465,0.29618,0.78012,0.9999,1,0.995,0.85479,0.58959,0.31442,0.78746,0.0011684,0.0011684,0.0011684
23,551.339,0.50751,0.29925,0.78345,0.99991,1,0.995,0.81329,0.69523,0.33493,0.79668,0.0011288,0.0011288,0.0011288
24,568.953,0.46974,0.28475,0.78015,0.9999,1,0.995,0.84149,0.62345,0.31989,0.79131,0.0010892,0.0010892,0.0010892
25,586.606,0.47135,0.28342,0.77938,0.9999,1,0.995,0.84105,0.64104,0.32286,0.7897,0.0010496,0.0010496,0.0010496
26,604.249,0.47363,0.28208,0.78195,0.9999,1,0.995,0.80293,0.72402,0.32889,0.79901,0.00101,0.00101,0.00101
27,621.875,0.46277,0.27641,0.7802,0.9999,1,0.995,0.79837,0.7277,0.35761,0.79835,0.0009704,0.0009704,0.0009704
28,639.53,0.46076,0.27599,0.778,0.9999,1,0.995,0.83445,0.64204,0.31453,0.79063,0.0009308,0.0009308,0.0009308
29,657.199,0.47195,0.28309,0.77728,0.9999,1,0.995,0.79487,0.77957,0.34766,0.80236,0.0008912,0.0008912,0.0008912
